Description	ID	>AT	>Cc	>So
Organisms_order_>AT_>Cc_>So	748	6	2	6
Organisms_order_>AT_>Cc_>So	751	0	1	0
Organisms_order_>AT_>Cc_>So	752	1	0	0
Organisms_order_>AT_>Cc_>So	756	1	1	1
Organisms_order_>AT_>Cc_>So	757	1	1	1
Organisms_order_>AT_>Cc_>So	758	0	0	1
Organisms_order_>AT_>Cc_>So	759	2	1	0
Organisms_order_>AT_>Cc_>So	764	0	0	1
Organisms_order_>AT_>Cc_>So	765	2	1	1
Organisms_order_>AT_>Cc_>So	766	2	0	1
Organisms_order_>AT_>Cc_>So	767	1	1	1
Organisms_order_>AT_>Cc_>So	769	1	0	0
Organisms_order_>AT_>Cc_>So	772	0	0	1
Organisms_order_>AT_>Cc_>So	775	1	0	0
Organisms_order_>AT_>Cc_>So	776	2	0	0
Organisms_order_>AT_>Cc_>So	779	1	0	0
Organisms_order_>AT_>Cc_>So	780	0	1	0
Organisms_order_>AT_>Cc_>So	784	0	0	1
Organisms_order_>AT_>Cc_>So	785	0	0	1
Organisms_order_>AT_>Cc_>So	786	1	1	1
Organisms_order_>AT_>Cc_>So	788	17	17	22
Organisms_order_>AT_>Cc_>So	789	1	1	1
Organisms_order_>AT_>Cc_>So	793	0	0	1
Organisms_order_>AT_>Cc_>So	795	1	0	0
Organisms_order_>AT_>Cc_>So	800	1	0	0
Organisms_order_>AT_>Cc_>So	803	1	1	1
Organisms_order_>AT_>Cc_>So	811	0	6	0
Organisms_order_>AT_>Cc_>So	814	0	1	1
Organisms_order_>AT_>Cc_>So	815	1	1	1
Organisms_order_>AT_>Cc_>So	816	2	1	1
Organisms_order_>AT_>Cc_>So	817	0	1	0
Organisms_order_>AT_>Cc_>So	818	2	1	1
Organisms_order_>AT_>Cc_>So	820	0	3	0
Organisms_order_>AT_>Cc_>So	821	0	1	1
Organisms_order_>AT_>Cc_>So	822	4	1	0
Organisms_order_>AT_>Cc_>So	824	2	1	1
Organisms_order_>AT_>Cc_>So	827	1	1	1
Organisms_order_>AT_>Cc_>So	828	0	1	0
Organisms_order_>AT_>Cc_>So	829	1	0	0
Organisms_order_>AT_>Cc_>So	832	1	0	0
Organisms_order_>AT_>Cc_>So	839	0	1	0
Organisms_order_>AT_>Cc_>So	840	0	1	0
